code_circ,region,parti,nom,score,pourcentage,elu
061,GBEKE,INDEPENDANT,"VISION, INTEGRITE, ESPOIR",940,8.28,0
061,GBEKE,RHDP,"UNE COTE D""IVOIRE EN PAIX,PROSPERE ET SOLIDAIRE",5421,47.77,1
061,GBEKE,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,3771,33.23,0
061,GBEKE,INDEPENDANT,UNION-DYNAMISME-ENTRAIDE,81,0.71,0
062,GBEKE,ADCI,KONAN YAO AUBIN,60,1.17,0
062,GBEKE,INDEPENDANT,TAIGUAIN KOFFI EDMOND,243,4.75,0
062,GBEKE,INDEPENDANT,KOUAME KOUASSI GUSTAVE,1224,23.94,0
062,GBEKE,INDEPENDANT,KOUADIO DIE,60,1.17,0
062,GBEKE,INDEPENDANT,DJE EDEPHOUET JACQUES ARNAUD,82,1.6,0
062,GBEKE,RHDP,ALLALI JUSTICE EULOGE BENIANSOU,441,8.63,0
062,GBEKE,PDCI-RDA,YAO KOUADIO ROLAND,2944,57.58,1
063,GBEKE,INDEPENDANT,KOUADIO KPANNIGO N'GUESSAN VALERIE,1155,10.15,0
063,GBEKE,INDEPENDANT,N'GUESSAN KOUASSI DENIS,34,0.3,0
063,GBEKE,INDEPENDANT,KOUASSI HERMANN RODOLPHE,284,2.5,0
063,GBEKE,CODE,ZELIA KAKAUF ABOH KOFFI,177,1.56,0
063,GBEKE,INDEPENDANT,KOFFI KOUACOU BENOIT,214,1.88,0
063,GBEKE,RHDP,TOTO KOUADIO YVES,3597,31.62,0
063,GBEKE,ADCI,TOTO KONAN VALENTIN,781,6.87,0
063,GBEKE,PDCI-RDA,KOUADIO KOUAME EUGENE,4970,43.69,1
064,GBOKLE,RHDP,KEBE MAHAMADOU,4897,71.9,1
064,GBOKLE,INDEPENDANT,YAO KONAN PAUL STEPHANE GISCARD RUFFIN,411,6.03,0
064,GBOKLE,PDCI-RDA,GBALET DAKOURY DENIS,1385,20.33,0
065,GBOKLE,INDEPENDANT,KACOU MEA D'ASSIE JUSTIN KEVIN,4032,55.13,1
065,GBOKLE,RHDP,FREGBO GUETE BASILE MESMIN,2632,35.99,0
065,GBOKLE,UDCY,GOUHIZOUN N'DA PATRICK JEAN KOUAME,74,1.01,0
065,GBOKLE,INDEPENDANT,DIAKITE MOHAMED,111,1.52,0
065,GBOKLE,PDCI-RDA,GOUDARD AGOUA MOISE-HONORAT,403,5.51,0
066,GBOKLE,INDEPENDANT,NANAN KOFFI,303,4.74,0
066,GBOKLE,INDEPENDANT,SAMA DAMALAN JANVIER,967,15.13,0
066,GBOKLE,RHDP,LEGRE DAKPA PHILIPPE,2976,46.57,1
066,GBOKLE,ADCI,ABALE BASILE HENRI,85,1.33,0
066,GBOKLE,INDEPENDANT,KPREKPRE ZILIHONON BERNADETTE ERNESTINE SYLVIE,1625,25.43,0
066,GBOKLE,PDCI-RDA,ZAMA JEAN-LUC,378,5.91,0
