code_circ,region,parti,nom,score,pourcentage,elu
001,AGNEBY-TIASSA,INDEPENDANT,KOTO EHOU SOPIE,547,4.0,0
001,AGNEBY-TIASSA,RHDP,KOFFI AKA CHARLES,9078,66.35,1
001,AGNEBY-TIASSA,INDEPENDANT,YEPIE KOUASSI THEODORE,58,0.42,0
001,AGNEBY-TIASSA,INDEPENDANT,TCHIMOU GNAMON BERTRAND,1991,14.55,0
001,AGNEBY-TIASSA,INDEPENDANT,BOKA BOKA MAURICE,674,4.93,0
001,AGNEBY-TIASSA,ADCI,EDI DOFFOU PAUL,331,2.42,0
001,AGNEBY-TIASSA,FPI,N'GUESSAN KOTCHI REMI,474,3.46,0
001,AGNEBY-TIASSA,MGC,NANDO YAVO SERGE,453,3.31,0
002,AGNEBY-TIASSA,ADCI,OCHOU WROHOUM MARIE-PASCALE,296,2.37,0
002,AGNEBY-TIASSA,RHDP,DIMBA N'GOU PIERRE,10675,85.37,1
002,AGNEBY-TIASSA,INDEPENDANT,OCHO KOKOU BERTRAND,20,0.16,0
002,AGNEBY-TIASSA,INDEPENDANT,TETCHI EHOUE ANTOINE,75,0.6,0
002,AGNEBY-TIASSA,INDEPENDANT,N'GOU KOKOLA GRACIASSE,30,0.24,0
002,AGNEBY-TIASSA,PDCI-RDA,OHOUNA N'TAKPE NICAISE,1327,10.61,0
003,AGNEBY-TIASSA,INDEPENDANT,KOUAME YAO FREDERIC,439,8.61,0
003,AGNEBY-TIASSA,INDEPENDANT,DOUMBIA HAMED CHEICK YVANN,1549,30.37,0
003,AGNEBY-TIASSA,INDEPENDANT,KPATA APPIA EDI JORES,863,16.92,0
003,AGNEBY-TIASSA,INDEPENDANT,KIPRE LIPIA MIREILLE,38,0.74,0
003,AGNEBY-TIASSA,INDEPENDANT,ADJA OWO GILLES ROGER,96,1.88,0
003,AGNEBY-TIASSA,RHDP,ALAIN EKISSI,1673,32.8,1
003,AGNEBY-TIASSA,INDEPENDANT,BAMBA IDRISSA,256,5.02,0
003,AGNEBY-TIASSA,PDCI-RDA,EKISSI HUBERSON EVARISTHO ALVARIS,163,3.2,0
004,AGNEBY-TIASSA,INDEPENDANT,AKOUE BEDE ANSELME,203,2.74,0
004,AGNEBY-TIASSA,INDEPENDANT,TCHIMOU OKOMAN EMMANUEL,1668,22.51,0
004,AGNEBY-TIASSA,INDEPENDANT,OFFO ABOLE SYLVAIN,827,11.16,0
004,AGNEBY-TIASSA,INDEPENDANT,N'GOU OKAUGNY YANNICK ANICET,110,1.48,0
004,AGNEBY-TIASSA,RHDP,KOUASSI MARIE VIRGINIE,2607,35.19,1
004,AGNEBY-TIASSA,INDEPENDANT,ATIN ERIC ALAIN,355,4.79,0
004,AGNEBY-TIASSA,INDEPENDANT,OFFO BEDIA AKE VINCENT,197,2.66,0
004,AGNEBY-TIASSA,INDEPENDANT,KOFFI ANGBA GUY RICHARD,65,0.88,0
004,AGNEBY-TIASSA,FPI,ASSEKE BERNARD,117,1.58,0
004,AGNEBY-TIASSA,PDCI-RDA,N'GUESSAN AKA ARNAUD,1211,16.34,0
